x2,w2,x3,w3,x4,w4,x5,w5,x6,w6,x10,w10,x11,w11,x13,w13,x14,w14,x16,w16,x17,w17,x20,w20,x21,w21,x22,w22
41,1.774594820177555,41,1.7574811877608298,41,1.7407068482094343,41,1.7242691636896132,41,1.7081445944285392,41,1.6467070319281683,41,1.6320660243225098,41,1.6035735023593902,41,1.5897023126220704,41,1.5627743216705323,41,1.549232567138672,41,1.5116674088287352,41,1.4994131916511058,41,1.4873845593738555
42,1.7746085407054424,42,1.7574947809422017,42,1.740720318935977,42,1.724282505221367,42,1.7081578281188012,42,1.646719780614641,42,1.63207865234375,42,1.6035859491872786,42,1.5897146578979493,42,1.5627863828659057,42,1.549245340576172,42,1.5116790068054198,42,1.4994247263920308,42,1.4873960017323493
43,1.7746222592914105,43,1.7575083721709253,43,1.7407337877114613,43,1.724295844885111,43,1.7081710599148274,43,1.646732528951433,43,1.6320912748718261,43,1.603598393931389,43,1.5897270181274414,43,1.5627984434890747,43,1.54925822265625,43,1.5116906117248534,43,1.4994362594890593,43,1.4874074424231052
44,1.7746359759771826,44,1.7575219615221023,44,1.7407472546444998,44,1.7243091826844215,44,1.7081842898321153,44,1.6467452749040392,44,1.632103906402588,44,1.6036108366537094,44,1.5897393835449218,44,1.5628105015563964,44,1.5492711206054688,44,1.5117022027587892,44,1.4994477909696102,44,1.48741888150692
45,1.7746496905481814,45,1.7575355488169193,45,1.7407607195006476,45,1.7243225184547901,45,1.7081975177443025,45,1.6467580177625019,45,1.632116520690918,45,1.6036232774591446,45,1.589751739807129,45,1.562822560005188,45,1.5492838928222656,45,1.5117137957763673,45,1.4994593207252027,45,1.4874303188884257
46,1.7746634031426907,46,1.757549134171009,46,1.7407741824388503,46,1.72433585231781,46,1.708210743688345,46,1.6467707605679829,46,1.632129139099121,46,1.6036357163667678,46,1.5897640881347657,46,1.5628346142959595,46,1.5492967321777344,46,1.511725397644043,46,1.4994708488070965,46,1.4874417545497418
47,1.7746771138203146,47,1.7575627176022528,47,1.740787643480301,47,1.7243491843152046,47,1.7082239677762985,47,1.6467835010634528,47,1.6321417465209962,47,1.6036481535053253,47,1.5897764456176757,47,1.5628466669082641,47,1.5493095739746094,47,1.51173698097229,47,1.4994823752999307,47,1.4874531886625288
48,1.7746908224213123,48,1.7575762989842894,48,1.740801102488571,48,1.7243625143146513,48,1.7082371898341178,48,1.6467962385283577,48,1.6321543649291992,48,1.6036605887031556,48,1.5897887857055664,48,1.5628587203979492,48,1.5493223278808592,48,1.5117485664367676,48,1.499493900065422,48,1.487464621025324
49,1.7747045289814471,49,1.7575898783171178,49,1.7408145595033961,49,1.7243758422744275,49,1.7082504098546505,49,1.6468089755376178,49,1.6321669859313965,49,1.6036730216932298,49,1.5898011361694335,49,1.562870770072937,49,1.5493351965332032,49,1.5117601611328126,49,1.499505423103571,49,1.4874760516607761
50,1.7747182337832452,50,1.7576034559369087,50,1.7408280147684945,50,1.7243891686153412,50,1.708263628228903,50,1.6468217102898492,50,1.6321795860290527,50,1.6036854530525209,50,1.5898134878540038,50,1.5628828194808961,50,1.5493480285644532,50,1.5117717474365233,50,1.4995169446778298,50,1.4874874808192253
51,1.774731936365366,51,1.757617031340599,51,1.740841467853387,51,1.7244024927389623,51,1.7082768443715572,51,1.6468344422128467,51,1.6321921987915038,51,1.6036978825426103,51,1.5898258206176756,51,1.5628948637008666,51,1.5493607775878906,51,1.5117833323669434,51,1.4995284643876552,51,1.4874989081263543
52,1.774745637024641,52,1.7576306049025057,52,1.7408549191130533,52,1.7244158150684834,52,1.7082900586783887,52,1.6468471737013923,52,1.6322048027038574,52,1.6037103095674514,52,1.5898381658935548,52,1.5629069093322754,52,1.5493736584472655,52,1.5117949193573,52,1.499539982535839,52,1.4875103338551523
53,1.7747593356311322,53,1.7576441763901711,53,1.740868368326293,53,1.7244291353821755,53,1.7083032710099222,53,1.6468599024454753,53,1.6322174128723146,53,1.6037227351164818,53,1.5898505172729491,53,1.5629189526748657,53,1.5493864685058594,53,1.511806497116089,53,1.499551498954296,53,1.4875217578315734
54,1.774773032323122,54,1.757657746012211,54,1.7408818156613244,54,1.72444245382905,54,1.7083164814448355,54,1.6468726301723058,54,1.6322300088500976,54,1.6037351586771011,54,1.5898628509521484,54,1.5629309944152832,54,1.5493992517089845,54,1.51181807472229,54,1.4995630137467384,54,1.4875331802213192
55,1.7747867269730566,55,1.757671313596964,55,1.7408952610002624,55,1.7244557702970504,55,1.7083296898901463,55,1.6468853550804987,55,1.6322426171875,55,1.6037475801181793,55,1.5898751843261718,55,1.5629430335617065,55,1.549412066040039,55,1.511829658355713,55,1.499574526836872,55,1.4875446008849142
56,1.7748004196977614,56,1.7576848792529105,56,1.7409087044265537,56,1.7244690849077702,56,1.7083428964269163,56,1.6468980783462523,56,1.632255208129883,56,1.6037599998164176,56,1.589887525024414,56,1.5629550705718993,56,1.5494248828125001,56,1.511841231765747,56,1.4995860383319854,56,1.487556019948125
57,1.7748141104197501,57,1.7576984429574012,57,1.7409221459137068,57,1.724482397568226,57,1.7083561010098456,57,1.646910799853007,57,1.6322678094482421,57,1.603772417588234,57,1.589899841003418,57,1.56296710811615,57,1.549437607421875,57,1.51185280128479,57,1.4995975481390953,57,1.4875674373328687
