x2,w2,x3,w3,x4,w4,x5,w5,x6,w6,x7,w7,x8,w8,x10,w10,x11,w11,x12,w12,x13,w13,x14,w14,x16,w16
47,2.4181895658135413,47,2.3859258563327788,47,2.3545349570965763,47,2.323980418329239,47,2.294224241088629,47,2.265243401370048,47,2.2370058638691903,47,2.1826436959815028,47,2.156463628740311,47,2.1314302685546873,47,2.106031813454628,47,2.081700885887146,47,2.034749824830294
48,2.41820789054513,48,2.385943978869915,48,2.3545528642117977,48,2.3239981194508075,48,2.2942417466127876,48,2.2652606988704203,48,2.2370229666876793,48,2.182660414892435,48,2.1564801820945743,48,2.1314455468749998,48,2.106047920598984,48,2.081716819089651,48,2.0347654113435745
49,2.4182262129950525,49,2.385962099134922,49,2.354570769108534,49,2.3240158183300497,49,2.294259249949455,49,2.265277994135618,49,2.237040067369938,49,2.1826771317207814,49,2.156496733107567,49,2.1314607971191406,49,2.1060640253019334,49,2.0817327503550054,49,2.034780995967388
50,2.41824453348279,50,2.3859802174639704,50,2.3545886721479894,50,2.324033515411615,50,2.294276751458645,50,2.2652952876615524,50,2.237057166274786,50,2.1826938467919828,50,2.1565132824087145,50,2.1314759564208985,50,2.1060801286315916,50,2.0817486800920966,50,2.034796579002142
51,2.418262851407528,51,2.3859983332431316,51,2.354606572700739,51,2.324051209996939,51,2.2942942505216597,51,2.26531257876873,51,2.237074262844324,51,2.1827105595505234,51,2.1565298298072815,51,2.131491224975586,51,2.106096230344772,51,2.081764607708454,51,2.0348121599411964
52,2.4182811672580242,52,2.3860164469456673,52,2.354624471206665,52,2.324068902567625,52,2.2943117475903034,52,2.265329867925644,52,2.2370913574659825,52,2.1827272704195977,52,2.156546374464035,52,2.1315064807128907,52,2.106112329339981,52,2.0817805336272714,52,2.0348277391672136
53,2.4182994807207585,53,2.3860345583081246,53,2.354642367415428,53,2.324086592904329,53,2.294329242385626,53,2.265347154928446,53,2.2371084499061107,53,2.1827439791607857,53,2.156562917699814,53,2.131521641845703,53,2.106128427052498,53,2.081796457617283,53,2.0348433164680007
54,2.418317792034149,54,2.38605266756773,54,2.354660261529684,54,2.3241042811942103,54,2.2943467352104188,54,2.265364439909458,54,2.237125540385246,54,2.1827606859588626,54,2.156579458761215,54,2.1315369219970703,54,2.106144523000717,54,2.08181237983346,54,2.0348588919949533
55,2.418336101042032,55,2.386070774489641,55,2.354678153423071,55,2.3241219672226907,55,2.2943642257463934,55,2.2653817227470876,55,2.237142628719807,55,2.1827773906707764,55,2.1565959975814817,55,2.1315521551513674,55,2.10616061668396,55,2.0818283001613618,55,2.0348744656157494
56,2.4183544078814982,56,2.386088879275322,56,2.3546960432076456,56,2.324139651225805,56,2.294381714279652,56,2.265399003551006,56,2.237159715083837,56,2.1827940934348105,56,2.156612534651756,56,2.131567341308594,56,2.106176708841324,56,2.081844218723774,56,2.034890037487745
